response_timestamp,institute,status,assets_brought,attended_before,nickname,ping_pong,basketball,running_sprints,volleyball,football,tennis,badminton,spikeball,chess,capture_the_flag,beer_pong,foosball,ping_pong_days,num_sports,late_entry,confirmation_status,Team,subteam_ping_pong,subteam_basketball,subteam_running_sprints,subteam_volleyball,subteam_football,subteam_tennis,subteam_badminton,subteam_spikeball,subteam_capture_the_flag,subteam_chess,subteam_beer_pong,subteam_foosball,num_sports_attending,attendance_ratio,picture_consent,has_paid_fee,dropout_sports,num_dropout_sports,confirm_date,is_full_dropout,has_confirmed
2025-04-04 18:38:10,MPA,PhD,,True,Neglected Harrier,True,False,True,False,True,True,False,False,False,True,True,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",7,False,False,Team B,D,,D,,D,D,,,D,,D,D,7,1.0,,True,"['running_sprints', 'football', 'tennis', 'capture_the_flag', 'beer_pong', 'foosball', 'ping_pong']",7,DROPOUT,True,False
2025-03-17 14:13:22,USM/LMU,PhD,,True,Trivial Uguisu,True,False,False,True,False,False,True,False,True,True,True,True,"['monday', 'tuesday', 'thursday']",7,False,False,Team B,16,,,R,,,3,,2,6,4,R,4,0.5714285714285714,,True,[],0,2025-04-29,False,True
2025-03-10 15:01:09,MPE,PhD,spikeball set,True,Thankful Kakapo,True,False,False,True,True,False,False,True,False,True,True,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",7,False,False,Team B,02,,,R,1,,,D,D,,6,R,5,0.7142857142857143,,True,['spikeball'],1,2025-04-29,False,True
2025-04-04 09:56:39,IPP,PhD,No,False,Unsteady Aardvark,True,False,True,False,True,True,False,False,True,True,False,False,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",6,False,False,Team B,06,,1,,R,D,,,2,R,,,4,0.6666666666666666,,True,['tennis'],1,2025-04-24,False,True
2025-03-10 08:45:10,MPE,PhD,badminton rackets,True,Animated Yak,True,False,False,True,False,True,False,True,False,False,True,True,"['monday', 'tuesday', 'wednesday', 'friday']",6,False,False,Team B,0D,,,D,,D,,D,,,D,D,6,1.0,,True,"['volleyball', 'tennis', 'ping_pong', 'spikeball', 'beer_pong', 'foosball']",6,DROPOUT,True,False
2025-03-10 11:06:24,USM/LMU,PhD,Basketball,True,Real Mouse,True,True,False,False,False,False,True,True,False,True,False,False,"['monday', 'tuesday', 'thursday', 'friday']",5,False,False,Team B,21,1,,,,,R,4,1,,,,3,0.6,,True,[],0,2025-04-29,False,True
2025-04-04 13:32:35,MPQ,PhD,,False,Rare Dugong,True,True,False,False,False,False,True,False,False,True,False,True,"['monday', 'thursday', 'friday']",5,False,False,Team B,24,D,,,,,D,,D,,,D,5,1.0,,True,"['badminton', 'capture_the_flag', 'ping_pong', 'foosball', 'basketball']",5,2025-04-25,False,True
2025-04-01 18:57:04,MPA,PostDoc,A volleyball,False,Snappy Crab,True,False,False,True,True,True,False,False,True,False,False,False,"['monday', 'wednesday', 'thursday', 'friday']",5,False,False,Team B,19,,,R,R,5,,,,2,,,3,0.6,,True,[],0,2025-05-05,False,True
2025-03-31 09:21:00,MPE,PhD,,False,Open Iguana,False,True,False,False,False,True,True,False,False,True,True,False,[],5,False,False,Team B,,R,,,,D,3,,2,,2,,4,0.8,,True,['tennis'],1,2025-04-28,False,True
2025-03-20 17:04:01,MPE,Other,,True,Flamboyant Lungfish,True,False,False,True,True,False,True,False,False,False,False,False,"['monday', 'tuesday', 'thursday', 'friday']",4,False,False,Team B,08,,,R,2,,D,,,,,,3,0.75,,True,['badminton'],1,2025-04-30,False,True
2025-04-03 17:07:17,Other,PhD,,False,Difficult Monkfish,False,False,False,True,True,False,False,False,False,False,True,True,[],4,False,False,Team B,,,,R,1,,,,,,5,R,2,0.5,,True,[],0,2025-04-23,False,True
2025-03-26 12:36:12,MPQ,PhD,,False,Oblong Snowshoe,False,False,False,True,False,False,False,True,True,False,True,False,[],4,False,False,Team B,,,,R,,,,5,,1,2,,3,0.75,,True,[],0,2025-04-23,False,True
2025-04-04 08:54:32,USM/LMU,Other,,False,Fast Havanese,False,True,True,False,True,False,False,False,False,False,False,True,[],4,False,False,Team B,,R,R,,2,,,,,,,3,2,0.5,,False,[],0,,False,False
2025-04-01 17:00:50,MPE,Master's Student,,False,Joint Coati,False,False,True,True,False,False,True,False,False,False,False,True,[],4,False,False,Team B,,,D,R,,,R,,,,,5,2,0.5,,True,[],0,2025-04-23,False,True
2025-04-04 17:02:49,MPQ,PhD,,False,Impish Shrimp,False,False,False,False,False,False,False,True,False,True,True,True,[],4,False,False,Team B,,,,,,,,D,1,,D,R,3,0.75,,True,"['spikeball', 'beer_pong']",2,2025-04-30,False,True
2025-04-06 10:29:43,MPE,PhD,"Badminton rackets, basketball ",True,Ill-fated Meerkat,True,True,True,False,False,False,True,False,False,False,False,False,['friday'],4,False,False,Team B,01,D,D,,,,1,,,,,,4,1.0,,True,"['running_sprints', 'basketball']",2,2025-04-28,False,True
2025-03-14 17:44:07,USM/LMU,PostDoc,Badminton rackets + shuttles,True,Spanish Ferret,True,True,False,False,False,False,True,False,True,False,False,False,['friday'],4,False,False,Team B,D,D,,,,,D,,,5,,,4,1.0,,True,"['ping_pong', 'basketball', 'badminton']",3,2025-04-23,False,True
2025-04-07 09:48:59,MPQ,Master's Student,Ping pong rackets,False,Possible Anchovies,True,False,False,True,False,False,False,False,False,True,False,False,['wednesday'],3,False,False,Team B,17,,,R,,,,,1,,,,2,0.6666666666666666,,True,[],0,2025-04-30,False,True
