response_timestamp,institute,status,assets_brought,attended_before,nickname,ping_pong,basketball,running_sprints,volleyball,football,tennis,badminton,spikeball,chess,capture_the_flag,beer_pong,foosball,ping_pong_days,num_sports,late_entry,confirmation_status,Team,subteam_ping_pong,subteam_basketball,subteam_running_sprints,subteam_volleyball,subteam_football,subteam_tennis,subteam_badminton,subteam_spikeball,subteam_capture_the_flag,subteam_chess,subteam_beer_pong,subteam_foosball,num_sports_attending,attendance_ratio,picture_consent,has_paid_fee,dropout_sports,num_dropout_sports,confirm_date,is_full_dropout,has_confirmed
2025-03-09 10:44:01,MPE,PhD,"2 Spikeball Sets, 2 Tennis Rackets/Balls",True,Pushy Bulldog,True,False,False,True,True,True,False,True,False,True,False,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",7,False,False,Team C,07,,,R,R,4,,2,1,,,3,5,0.7142857142857143,,True,[],0,2025-04-23,False,True
2025-04-03 14:05:19,MPE,Other,,False,Electric Rat,True,False,False,True,False,False,False,True,True,True,True,True,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",7,False,False,Team C,16,,,R,,,,D,2,R,6,R,4,0.5714285714285714,,True,['spikeball'],1,2025-04-30,False,True
2025-03-15 18:36:09,MPP,PhD,Volleyball,False,Good Dolphin,True,False,False,True,False,False,True,True,False,True,True,False,"['tuesday', 'friday']",6,False,False,Team C,02,,,R,,,R,2,2,,3,,4,0.6666666666666666,,True,[],0,2025-04-28,False,True
2025-04-02 16:05:17,MPA,Master's Student,tennis racket,False,Sandy Budgerigar,True,False,False,False,False,False,True,False,True,True,True,True,"['monday', 'thursday', 'friday']",6,False,False,Team C,06,,,,,,D,,2,D,6,R,5,0.8333333333333334,,True,[],0,2025-04-28,False,True
2025-03-26 19:18:28,MPQ,PhD,,False,Vengeful Ibis,True,True,True,True,True,False,False,False,False,False,True,False,['tuesday'],6,False,False,Team C,14,R,1,R,1,,,,,,2,,4,0.6666666666666666,,True,[],0,2025-04-24,False,True
2025-03-25 20:39:27,USM/LMU,PhD,,False,Experienced Liger,True,True,False,False,False,False,False,True,False,True,False,True,"['monday', 'wednesday', 'thursday', 'friday']",5,False,False,Team C,21,R,,,,,,4,1,,,2,4,0.8,,True,[],0,2025-04-23,False,True
2025-03-28 16:01:15,ESO,PhD,i have a tennis racket ,False,Enormous Uakari,False,False,False,True,False,True,True,False,False,True,True,False,[],5,False,False,Team C,,,,R,,2,D,,D,,D,,4,0.8,,True,"['capture_the_flag', 'beer_pong']",2,2025-04-25,False,True
2025-03-17 00:47:23,MPA,PhD,,False,Hairy Donkey,True,False,True,False,False,False,True,False,True,False,False,True,"['monday', 'tuesday', 'thursday', 'friday']",5,False,False,Team C,24,,1,,,,1,,,2,,5,5,1.0,,True,[],0,2025-04-28,False,True
2025-03-14 17:22:17,USM/LMU,PhD,,True,Motherly Woodpecker,True,False,True,False,True,False,True,False,False,True,False,False,"['monday', 'tuesday', 'thursday']",5,False,False,Team C,19,,1,,2,,R,,2,,,,4,0.8,,True,['capture_the_flag'],1,2025-05-06,False,True
2025-03-27 16:34:39,MPA,Master's Student,,False,Vacant Poodle,False,True,False,True,True,False,False,False,False,False,False,True,[],4,False,False,Team C,,R,,R,1,,,,,,,6,2,0.5,,True,[],0,2025-04-23,False,True
2025-03-30 23:18:21,MPA,PhD,,False,Appropriate Tang,True,True,False,False,False,False,True,False,False,False,False,True,['friday'],4,False,False,Team C,08,R,,,,,D,,,,,1,3,0.75,,True,[],0,2025-04-28,False,True
2025-03-31 09:27:33,USM/LMU,PostDoc,,False,Silly Puffin,False,False,False,True,True,False,False,False,False,False,True,True,[],4,False,False,Team C,,,,R,2,,,,,,2,R,2,0.5,,False,[],0,2025-04-30,False,True
