sport,team_a,team_b,location,day,time,result,winner,start,duration,team_a_key,team_b_key,full_key
basketball,A: 1,B: 1,1,Monday,17:45,,,2024-04-29 17:45:00,2700,A: 1,B: 1,basketballA: 1B: 1
basketball,B: 1,C: 1,1,Monday,18:30,,,2024-04-29 18:30:00,2700,B: 1,C: 1,basketballB: 1C: 1
basketball,C: 1,A: 1,1,Monday,19:15,,,2024-04-29 19:15:00,2700,C: 1,A: 1,basketballC: 1A: 1
volleyball,A: 2,B: 1,1,Monday,17:45,,,2024-04-29 17:45:00,2700,A: 2,B: 1,volleyballA: 2B: 1
volleyball,A: 1,B: 2,2,Monday,17:45,,,2024-04-29 17:45:00,2700,A: 1,B: 2,volleyballA: 1B: 2
volleyball,B: 1,C: 2,1,Monday,18:30,,,2024-04-29 18:30:00,2700,B: 1,C: 2,volleyballB: 1C: 2
volleyball,B: 2,C: 1,2,Monday,18:30,,,2024-04-29 18:30:00,2700,B: 2,C: 1,volleyballB: 2C: 1
volleyball,C: 2,A: 1,1,Monday,19:15,,,2024-04-29 19:15:00,2700,C: 2,A: 1,volleyballC: 2A: 1
volleyball,C: 1,A: 2,2,Monday,19:15,,,2024-04-29 19:15:00,2700,C: 1,A: 2,volleyballC: 1A: 2
chess,A: Cool Weasel,B: Awkward Cichlid,1,Tuesday,17:30,,,2024-04-30 17:30:00,2400,A: 2,B: 1,chessA: 2B: 1
chess,A: Trifling Tarpon,B: Ornate Cockatoo,2,Tuesday,17:30,,,2024-04-30 17:30:00,2400,A: 1,B: 3,chessA: 1B: 3
chess,A: Pleasing Mongrel,B: Trivial Uguisu,3,Tuesday,17:30,,,2024-04-30 17:30:00,2400,A: 3,B: 2,chessA: 3B: 2
chess,B: Awkward Cichlid,C: Reckless Swan,1,Tuesday,18:10,,,2024-04-30 18:10:00,2400,B: 1,C: 3,chessB: 1C: 3
chess,B: Ornate Cockatoo,C: Excited Rabbit,2,Tuesday,18:10,,,2024-04-30 18:10:00,2400,B: 3,C: 2,chessB: 3C: 2
chess,B: Trivial Uguisu,C: Clever Wombat,3,Tuesday,18:10,,,2024-04-30 18:10:00,2400,B: 2,C: 1,chessB: 2C: 1
chess,C: Reckless Swan,A: Cool Weasel,1,Tuesday,18:50,,,2024-04-30 18:50:00,2400,C: 3,A: 2,chessC: 3A: 2
chess,C: Excited Rabbit,A: Trifling Tarpon,2,Tuesday,18:50,,,2024-04-30 18:50:00,2400,C: 2,A: 1,chessC: 2A: 1
chess,C: Clever Wombat,A: Pleasing Mongrel,3,Tuesday,18:50,,,2024-04-30 18:50:00,2400,C: 1,A: 3,chessC: 1A: 3
football,A: 1,B: 1,1,Tuesday,17:45,,,2024-04-30 17:45:00,2700,A: 1,B: 1,footballA: 1B: 1
football,B: 1,C: 1,1,Tuesday,18:30,,,2024-04-30 18:30:00,2700,B: 1,C: 1,footballB: 1C: 1
football,C: 1,A: 1,1,Tuesday,19:15,,,2024-04-30 19:15:00,2700,C: 1,A: 1,footballC: 1A: 1
tennis,A: Motherly Woodpecker,B: Striped Himalayan,1,Tuesday,17:45,,,2024-04-30 17:45:00,2700,A: 2,B: 1,tennisA: 2B: 1
tennis,A: Pricey Collie,B: Faint Gorilla,2,Tuesday,17:45,,,2024-04-30 17:45:00,2700,A: 1,B: 3,tennisA: 1B: 3
tennis,A: Fickle Gecko,B: Animated Yak,3,Tuesday,17:45,,,2024-04-30 17:45:00,2700,A: 3,B: 2,tennisA: 3B: 2
tennis,B: Striped Himalayan,C: Well-documented Dodo,1,Tuesday,18:30,,,2024-04-30 18:30:00,2700,B: 1,C: 3,tennisB: 1C: 3
tennis,B: Faint Gorilla,C: Unwritten Saiga,2,Tuesday,18:30,,,2024-04-30 18:30:00,2700,B: 3,C: 1,tennisB: 3C: 1
tennis,B: Animated Yak,C: Neglected Harrier,3,Tuesday,18:30,,,2024-04-30 18:30:00,2700,B: 2,C: 2,tennisB: 2C: 2
tennis,C: Well-documented Dodo,A: Motherly Woodpecker,1,Tuesday,19:15,,,2024-04-30 19:15:00,2700,C: 3,A: 2,tennisC: 3A: 2
tennis,C: Unwritten Saiga,A: Pricey Collie,2,Tuesday,19:15,,,2024-04-30 19:15:00,2700,C: 1,A: 1,tennisC: 1A: 1
tennis,C: Neglected Harrier,A: Fickle Gecko,3,Tuesday,19:15,,,2024-04-30 19:15:00,2700,C: 2,A: 3,tennisC: 2A: 3
capture_the_flag,A: 1,B: 1,1,Thursday,17:45,,,2024-05-02 17:45:00,1800,A: 1,B: 1,capture_the_flagA: 1B: 1
