nickname,institute,is_postdoc,avail_monday,avail_tuesday,avail_thursday,avail_friday,wants_basketball,basketball,wants_running_sprints,running_sprints,wants_volleyball,volleyball,wants_chess,chess,wants_football,football,wants_tennis,tennis,wants_capture_the_flag,capture_the_flag,wants_spikeball,spikeball,wants_beer_pong,beer_pong,wants_fooseball,fooseball,wants_ping_pong,ping_pong,num_sports,num_sports_not_avail,late_entry
Trivial Uguisu,ESO,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,8,0,False
Radiant Booby,MPA,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,True,True,6,0,False
Motherly Woodpecker,MPE,False,True,True,True,True,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,6,0,False
Gargantuan Okapi,ESO,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,6,0,False
Dishonest Fangtooth,MPA,False,False,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,5,2,False
Graceful Llama,USM,False,True,True,True,True,False,False,False,False,True,True,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,False,5,0,False
Pushy Bulldog,MPE,False,True,True,True,True,False,False,True,True,True,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,True,5,0,False
Striped Himalayan,MPE,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False,True,True,4,0,False
Amusing Seal,ESO,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False,4,0,False
Grouchy Mole,IPP,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False,4,0,False
Ideal Vaquita,IPP,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,4,0,False
Trifling Tarpon,IPP,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,4,0,False
Ignorant Lemur,MPE,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,3,0,False
Tan Crane,MPE,False,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,3,0,False
Indelible Cockroach,ESO,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,3,0,False
Well-documented Dodo,ESO,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,3,0,False
Fine Oyster,ESO,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,3,1,False
Extra-small Coyote,ESO,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,True,3,0,False
Quixotic Zebu,MPA,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,3,0,False
Medium Kiwi,ESO,False,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,2,0,False
Revolving Coelacanth,MPA,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,0,False
Vivacious Axolotl,MPA,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,2,0,False
Damp Fossa,USM,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,2,0,False
Questionable Drever,USM,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,2,0,False
Glass Wildebeest,MPE,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,2,0,False
Another Macaw,ESO,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False
Ornate Cockatoo,MPA,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False
Frail Skunk,IPP,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False
Separate Akbash,ESO,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False
