nickname,institute,is_postdoc,avail_monday,avail_tuesday,avail_thursday,avail_friday,wants_basketball,basketball,wants_running_sprints,running_sprints,wants_volleyball,volleyball,wants_chess,chess,wants_football,football,wants_tennis,tennis,wants_capture_the_flag,capture_the_flag,wants_spikeball,spikeball,wants_beer_pong,beer_pong,wants_fooseball,fooseball,wants_ping_pong,ping_pong,num_sports,num_sports_not_avail,late_entry,subteam_basketball,subteam_running_sprints,subteam_volleyball,subteam_chess,subteam_football,subteam_tennis,subteam_capture_the_flag,subteam_spikeball,subteam_beer_pong,subteam_fooseball,subteam_ping_pong,num_sports_attending,attendance_ratio
Magnificent Barracuda,MPE,False,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,0,False,,2,2,,1,2,R,2,3,2,7,8,0.8888888888888888
Animated Yak,MPE,False,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,8,0,False,,,2,,1,R,R,3,2,3,2,6,0.75
Failing Muskrat,IPP,False,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,6,0,False,1,,R,,1,R,1,,,,6,4,0.6666666666666666
Nutty Sheep,MPE,False,True,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True,5,0,False,,1,2,,,,1,R,,,14,4,0.8
Excited Rabbit,IPP,False,True,True,False,False,True,True,False,False,True,True,True,True,True,True,False,False,True,False,True,False,True,False,True,False,True,True,5,4,False,R,,R,2,1,,,,,,16,3,0.6
Nice Albatross,MPE,False,False,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,True,True,5,2,False,,,,,1,,1,1,R,,13,4,0.8
Ill-fated Meerkat,MPE,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,5,0,False,1,R,,,,,,,R,R,1,2,0.4
Exemplary Cassowary,MPA,False,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,4,0,False,,,1,,,,1,R,1,,,3,0.75
Kindly Clownfish,MPE,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,4,0,False,,,,,,,R,4,,1,8,3,0.75
Limp Monkey,ESO,False,True,True,True,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,True,4,0,False,,,2,,1,,,,R,,R,2,0.5
Reckless Swan,IPP,True,True,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3,0,False,,3,,1,,,,,,,9,3,1.0
Mammoth Barnacle,MPE,False,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,3,0,False,,,1,,,,,2,,R,,2,0.6666666666666666
Frightening Avocet,IPP,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,3,0,False,,,,,,,1,,,2,15,3,1.0
Reflecting Pug,MPE,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,3,0,False,,,1,,,,,,2,,10,3,1.0
Sneaky Quokka,MPE,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,3,1,False,,,,,R,3,,4,,,,2,0.6666666666666666
Impractical Elephant,MPE,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,3,0,False,,,,,,,1,,,4,5,3,1.0
Awesome Wolverine,USM,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,3,0,False,1,,,,,,,,R,,11,2,0.6666666666666666
Marvelous Opossum,ESO,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,3,0,False,,,,,1,,,,3,4,,3,1.0
Assured Flamingo,IPP,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,2,0,False,,,R,,,,,3,,,,1,0.5
