nickname,institute,is_postdoc,avail_monday,avail_tuesday,avail_thursday,avail_friday,wants_basketball,basketball,wants_running_sprints,running_sprints,wants_volleyball,volleyball,wants_chess,chess,wants_football,football,wants_tennis,tennis,wants_capture_the_flag,capture_the_flag,wants_spikeball,spikeball,wants_beer_pong,beer_pong,wants_fooseball,fooseball,wants_ping_pong,ping_pong,num_sports,num_sports_not_avail,late_entry,subteam_basketball,subteam_running_sprints,subteam_volleyball,subteam_chess,subteam_football,subteam_tennis,subteam_capture_the_flag,subteam_spikeball,subteam_beer_pong,subteam_fooseball,subteam_ping_pong,num_sports_attending,attendance_ratio
Thankful Kakapo,MPE,False,True,True,True,True,False,False,True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,7,0,False,,2,,,1,,1,2,2,2,7,7,1.0
Damaged Fly,MPE,False,True,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,7,0,False,1,,R,,,,1,3,3,3,6,6,0.8571428571428571
Unwritten Saiga,ESO,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,6,0,False,,,2,,,2,1,R,R,R,,3,0.5
Scientific Angelfish,MPA,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,6,0,False,1,1,R,,1,,1,,,,2,5,0.8333333333333334
Cool Weasel,USM,False,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,6,0,False,,,2,2,1,R,,,,1,14,5,0.8333333333333334
Qualified Buffalo,USM,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,True,True,True,True,True,5,0,False,,,,,1,,1,,1,4,16,5,1.0
Real Mouse,USM,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False,False,False,True,True,5,0,False,1,,,,1,,R,1,,,13,4,0.8
Awkward Cichlid,USM,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True,False,False,False,False,True,True,4,0,False,,,,1,1,,,4,,,8,4,1.0
Dramatic Hyena,USM,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,4,0,False,,R,2,,1,,1,,,,,3,0.75
Neglected Harrier,MPA,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False,True,True,4,3,False,,,,,R,R,,,R,,1,1,0.25
Rewarding Ermine,ESO,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,3,2,False,,,1,,,,R,2,,,,2,0.6666666666666666
Shameless Pufferfish,MPE,True,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,3,0,False,,,1,,,,,4,,,R,2,0.6666666666666666
Delirious Robin,IPP,True,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False,3,0,False,,,,,1,,1,,2,,,3,1.0
Clever Wombat,IPP,False,True,True,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3,0,False,,,1,3,,,,,,,R,2,0.6666666666666666
Anchored Panther,IPP,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,3,0,False,,,,,,,,,R,2,9,2,0.6666666666666666
